0	1	x-ta-ar-da	x-ta-ar-da	X	X	_	0	ROOT	_	_
1	2	x	x	X	X	_	_	_	_	_
2	3	x	x	X	X	_	_	_	_	_
3	4	x	x	X	X	_	_	_	_	_
4	5	x	x	X	X	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	x	x	X	X	_	_	_	_	_
7	8	x	x	X	X	_	_	_	_	_
8	9	x	x	X	X	_	_	_	_	_
9	10	x	x	X	X	_	_	_	_	_
10	11	nu-ut-ta-am-me-ša₂	nu-ut-ta-am-me-ša₂	VERB	VERB	Gender=Com|Mood=Ind|Number=Plur|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
11	12	DINGIR-MEŠ	dingir-meš	PROPN	GN	_	_	_	_	_
12	13	ša	ša	ADP	PRP	_	14	case	_	_
13	14	TA@v	ta@v	NOUN	N	_	12	nmod	_	_
14	15	LUGAL	lugal	VERB	GN	Gender=Com|Mood=Ind|Number=Sing|Person=1|Subordinative=Yes|Tense=Pres|VerbForm=Fin|VerbStem=D	14	nmod:poss	_	_
15	16	EN-ia	en-ia	NOUN	N	Gender=Masc|NounBase=Bound|Number=Plur	_	_	_	_
16	17	sa-al-mu-ni	sa-al-mu-ni	NOUN	u	_	21	advmod	_	_
17	18	na-mur-ta-ka	na-mur-ta-ka	NOUN	DET	Case=Acc|Gender=Masc|Number=Sing	21	advmod	_	_
18	19	ina	ina	ADP	PRP	_	20	case	_	_
19	20	IGI-šu₂-nu	igi-šu₂-nu	PROPN	WN	Case=Gen|Gender=Masc|Number=Sing	21	obl	_	_
20	21	mah-ra-tu₂-ni	mah-ra-tu₂-ni	VERB	VERB	Gender=Masc|Mood=Ind|Number=Plur|Person=3|Tense=Past|VerbForm=Fin|VerbStem=G	16	conj	_	_
21	22	e-tap-šu₂	e-tap-šu₂	ADV	AV	_	_	_	_	_
22	24	ID₂}ma-li-a-su-u₂	id₂}ma-li-a-su-u₂	X	X	_	_	_	_	_
23	25	ne₂-ta-at-qa	ne₂-ta-at-qa	ADJ	VERB	Case=Nom|Gender=Masc|Number=Sing	24	appos	_	_
24	26	ki-i	ki-i	PROPN	u	_	32	nsubj	_	_
25	27	ša	ša	ADP	PRP	_	29	case	_	_
26	28	ŠA₃-bi	ša₃-bi	PROPN	DN	Gender=Masc	29	case	_	_
